index,readout,read_val,name,model_name,p_val,log2FC,xnorm,pname
92,Peak,1090.9857128401718,IL2,thres,15.879310344827587,-0.04218486266658517,1.0622837370242215,beta_naive
93,Area,6114.035215494894,IL2,thres,15.879310344827587,-0.0371362360155738,1.0622837370242215,beta_naive
94,Peaktime,6.318418711963241,IL2,thres,15.879310344827587,-0.012856945064955931,1.0622837370242215,beta_naive
95,Decay,64.4,IL2,thres,15.879310344827587,-0.004473476579307974,1.0622837370242215,beta_naive
96,Peak,1087.6157007086588,IL2,thres,15.982758620689655,-0.04664818820883305,1.069204152249135,beta_naive
97,Area,6097.440237675507,IL2,thres,15.982758620689655,-0.04105738494369632,1.069204152249135,beta_naive
98,Peaktime,6.312655445256316,IL2,thres,15.982758620689655,-0.014173481848908315,1.069204152249135,beta_naive
99,Decay,64.4,IL2,thres,15.982758620689655,-0.004473476579307974,1.069204152249135,beta_naive
100,Peak,1084.2787901460924,IL2,thres,16.086206896551722,-0.05108132078389796,1.0761245674740483,beta_naive
101,Area,6080.999644425948,IL2,thres,16.086206896551722,-0.04495259270243529,1.0761245674740483,beta_naive
102,Peaktime,6.306916069932617,IL2,thres,16.086206896551722,-0.015485756022121312,1.0761245674740483,beta_naive
103,Decay,64.4,IL2,thres,16.086206896551722,-0.004473476579307974,1.0761245674740483,beta_naive
104,Peak,1080.9871406986454,IL2,thres,16.189655172413794,-0.05546771039523188,1.0830449826989619,beta_naive
105,Area,6064.78508847312,IL2,thres,16.189655172413794,-0.04880457491267371,1.0830449826989619,beta_naive
106,Peaktime,6.301296670793294,IL2,thres,16.189655172413794,-0.01677175586596838,1.0830449826989619,beta_naive
107,Decay,64.4,IL2,thres,16.189655172413794,-0.004473476579307974,1.0830449826989619,beta_naive
108,Peak,1077.7354342307244,IL2,thres,16.29310344827586,-0.05981400704146592,1.0899653979238753,beta_naive
109,Area,6048.766831470464,IL2,thres,16.29310344827586,-0.05262004927788023,1.0899653979238753,beta_naive
110,Peaktime,6.295763650882757,IL2,thres,16.29310344827586,-0.018039108834926,1.0899653979238753,beta_naive
111,Decay,64.4,IL2,thres,16.29310344827586,-0.004473476579307974,1.0899653979238753,beta_naive
